PLPLANID,PLANNUMBER,PREFIX,Plan_Type,Work_Class,STATUS,Plan_Description,aplplicationdate,expiredate,completedate,SQUAREFEET,plan_value,IVRNUMBER,MAIN_SITE_GISID,MAIN_SITE_PARCEL,MAIN_SITE_ADDR1,MAIN_SITE_PREDIRECTION,MAIN_SITE_ADDR2,MAIN_SITE_ADDR3,MAIN_SITE_STREETTYPE,MAIN_SITE_POSTDIRECTION,MAIN_SITE_UNITSUITE,MAIN_SITE_COUNTY,MAIN_SITE_City,MAIN_SITE_State,MAIN_SITE_Zip,ESRI_OID
001993a7-766f-4504-bbf0-0ac97b89bff1,PRAP22-000011,PRAP,DS - SDP & SCP Pre-Application Meeting,DS - SDP & SCP Pre-Application Meeting,Closed,Our client wishes to covert the existing drive-thru into a medical office. MS TEAMS MEETING SCHEDULED FOR TUESDAY 3/29/22 @ 2:30,2022/03/15 18:22:59.263+00,,2022/03/30 10:58:10+00,0,0,612621,,144523C1017000210,407,,CAPE CORAL,,PKWY,W,,Parcel,Cape Coral,Florida,33914,53
0041507D-7C76-410B-81BA-3488D8C34E0D,UTL16-0001.57,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Closed,SW6&7 Heatherwood Lakes,2016/06/24 04:00:00+00,,2016/12/16 05:00:00+00,0,0,,,284423C1002300080,2028,,CAPE HEATHER,PARCEL,CIR,,,,CAPE CORAL          ,FL,33991,54
0060902e-df0e-44b1-9a4c-beb64bc3ef42,UEPS25-000402,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Submitted,Mandatory Irr Connection – Improved  - No Irr Installed,2025/05/14 21:41:06.910+00,,,0,0,2516166,GIS95127,114423C2026140100,126,NW,6TH,Parcel,TER,,,126 NW 6TH TER,Cape Coral,FL,33993,55
00fb8e1e-cfdf-420c-9636-6adae6fd5d19,BLDMP22-000071,BLDMP,Master Plans,Master Plans,Rejected,No new files as of 6/8/23  construction of single family home REJECTION 2 SENT 12/8/22 TW,2022/08/17 19:30:14.820+00,,,0,0,637765,,,,,,,,,,,,,,56
010CA9DF-34EF-4248-A143-5162E96E2B9C,UTL20-0009.203,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Closed,N2 Phase 9,2020/07/16 04:00:00+00,,2020/11/18 05:00:00+00,0,0,,,184423C4053240360,3531,SW,5TH,PARCEL,ST,,,,CAPE CORAL          ,FL,33991,57
0128F24C-A592-4A8D-816B-4CA42D8B2009,UTL15-0006.242,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Closed,SW6&7 Phase 3,2015/05/13 04:00:00+00,,2016/01/06 05:00:00+00,0,0,,,224423C1045710090,1142,SW,5TH,PARCEL,TER,,,,CAPE CORAL          ,FL,33991,58
014D77D7-AAB3-4A09-8BE3-4AB576620C8D,UTL20-0007.13,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Closed,N2 Phase 7,2020/07/01 04:00:00+00,,2021/12/13 05:00:00+00,0,0,0,,024423C4025550380,521,,TROPICANA,PARCEL,PKWY,W,,,CAPE CORAL          ,FL,33993,59
01568F4E-D80E-4C24-81E0-FF9F5310DECE,ADVM18-0069,PRAP,DS - SDP & SCP Pre-Application Meeting,DS - SDP & SCP Pre-Application Meeting,Closed,Kismet Outdoor Storage,2018/12/13 05:00:00+00,,2019/01/11 05:00:00+00,0,0,,,334324C1000010020,2313,NE,24TH,PARCEL,AVE,,,,CAPE CORAL,FL,33909,60
015A8DD7-9F1B-498C-8E9C-44B7E331D7A6,ADVM21-0076,PRAP,DS - SDP & SCP Pre-Application Meeting,DS - SDP & SCP Pre-Application Meeting,Closed,Springs at Coral Shores,2021/11/09 05:00:00+00,,2022/02/18 05:00:00+00,0,0,0,,174423C4000200000,2903,SW,PINE ISLAND,PARCEL,RD,,,,CAPE CORAL          ,FL,33991,61
01905e80-dc92-4b8e-b4f0-7791c8400953,UEPS25-000453,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Submitted,Mandatory Irr Connection – Improved  - No Irr Installed,2025/05/14 21:46:34.856+00,,,0,0,2516217,GIS110435,114423C2026120240,26,NW,7TH,Parcel,TER,,,26 NW 7TH TER,Cape Coral,FL,33993,62
01A24D05-033E-466D-B578-F30F8456B9C4,VP12-0007,VAC,PL - Vacation,PL - Vacation,Approved,Vacate ROW & Easement,2012/10/15 04:00:00+00,,,0,0,,,144523C3001850280,116,SW,54TH,Parcel,TER,,,,CAPE CORAL          ,FL,33914,63
002CC14F-05B5-4AFF-B8FF-A61733571B8E,AP02-700010,APL,PL - Appeal,PL - Appeal of Administrative Decision,Denied,AP APPEAL TO SE 02-00400030-FITZGERALD,2002/10/31 04:00:00+00,,,0,0,,,194424C2007760450,1205/1207,SE,10TH,PARCEL,ST,,,,CAPE CORAL,FL,33990,64
08C1D387-CD2E-485D-BC3A-E98BEDBF11A7,B04-29189,BLDMP,Master Plans,Master Plans,Closed,Permit has been closed due to FBC expired,2004/11/10 05:00:00+00,,2005/01/24 05:00:00+00,0,0,0,,,,,,,,,,,,,,65
0037F070-B21F-40C7-9C09-C59DB63BA58C,UTL20-0016.254,UEPS,CBS - Utility Extension Process,CBS - Utility Extension Process,Closed,N2 Phase 16,2020/11/09 05:00:00+00,,2021/05/06 04:00:00+00,0,0,,,124423C1024000580,13,NE,7TH,PARCEL,TER,,,,CAPE CORAL          ,FL,33909,66
